T_sync[ms], msShut_Enable, PumpA_Enable, N_Mode, N_Delay, Zpos, AIN_Volt, PCMD_Z, Tcorr_sum[us]
237,0,1,10,10,0.806,2.457,0.920,0
506,0,1,10,10,0.859,2.721,1.049,0
775,0,1,10,10,0.952,2.953,1.214,0
1043,0,1,10,10,0.992,1.428,0.870,0
1312,0,1,10,10,1.008,1.817,0.965,9
1581,0,1,10,10,1.002,2.186,1.045,12
1850,0,1,10,10,1.000,2.489,1.123,11
2119,0,1,10,10,0.999,2.769,1.203,10
2387,0,1,10,10,0.994,1.078,0.813,3
2656,0,1,10,10,1.006,1.492,0.896,9
2925,0,1,10,10,1.006,1.881,0.977,15
3194,0,1,10,10,1.001,2.228,1.054,16
3463,0,1,10,10,0.994,2.546,1.133,10
3732,0,1,10,10,1.002,2.798,1.215,11
4000,0,1,10,10,0.995,1.151,0.826,6
4269,0,1,10,10,1.006,1.551,0.907,12
4538,0,1,10,10,1.005,1.937,0.988,17
4807,0,1,10,10,0.997,2.289,1.066,13
5076,0,1,10,10,0.996,2.584,1.146,9
5345,0,1,10,10,1.002,2.840,1.228,11
5613,0,1,10,10,0.999,1.204,0.839,10
5882,0,1,10,10,1.004,1.619,0.919,15
6151,0,1,10,10,1.002,1.996,0.999,17
6420,0,1,10,10,0.996,2.337,1.078,12
6689,0,1,10,10,0.995,2.631,1.159,7
6958,0,1,10,10,1.006,2.870,1.241,13
7226,0,1,10,10,0.999,1.281,0.851,12
7495,0,1,10,10,1.005,1.671,0.931,17
7764,0,1,10,10,0.999,2.055,1.010,17
8033,0,1,10,10,0.995,2.384,1.090,12
8302,0,1,10,10,0.996,2.670,1.171,8
8571,0,1,10,10,1.006,2.910,1.254,14
8839,0,1,10,10,1.002,1.333,0.863,16
9108,0,1,10,10,1.001,1.745,0.942,18
9377,0,1,10,10,0.999,2.103,1.022,17
9646,0,1,10,10,0.994,2.435,1.102,10
9915,0,1,10,10,0.996,2.714,1.184,6
10184,0,1,10,10,1.010,2.938,1.267,17
10452,0,1,10,10,1.001,1.410,0.876,18
10721,0,1,10,10,1.002,1.792,0.953,20
10990,0,1,10,10,0.995,2.166,1.033,15
11259,0,1,10,10,0.994,2.480,1.114,9
11528,0,1,10,10,0.999,2.750,1.198,7
11796,0,1,10,10,0.992,1.064,0.809,-1
12065,0,1,10,10,1.007,1.464,0.892,6
12334,0,1,10,10,1.006,1.864,0.973,13
12603,0,1,10,10,1.001,2.210,1.050,14
12872,0,1,10,10,0.994,2.529,1.129,8
13141,0,1,10,10,1.000,2.790,1.210,8
13409,0,1,10,10,0.995,1.125,0.822,3
13678,0,1,10,10,1.005,1.536,0.904,8
13947,0,1,10,10,1.006,1.914,0.984,15
14216,0,1,10,10,0.997,2.271,1.062,12
14485,0,1,10,10,0.996,2.569,1.141,8
14754,0,1,10,10,1.001,2.828,1.224,9
15022,0,1,10,10,0.997,1.191,0.834,6
15291,0,1,10,10,1.006,1.592,0.915,12
15560,0,1,10,10,1.002,1.979,0.995,14
15829,0,1,10,10,0.998,2.314,1.074,12
16098,0,1,10,10,0.994,2.621,1.154,5
16367,0,1,10,10,1.005,2.859,1.237,10
16635,0,1,10,10,0.999,1.256,0.847,9
16904,0,1,10,10,1.004,1.658,0.927,13
17173,0,1,10,10,1.001,2.032,1.007,15
17442,0,1,10,10,0.994,2.373,1.086,9
17711,0,1,10,10,0.998,2.652,1.167,6
17980,0,1,10,10,1.005,2.899,1.250,12
18248,0,1,10,10,1.001,1.317,0.859,12
18517,0,1,10,10,1.003,1.719,0.938,15
18786,0,1,10,10,0.998,2.092,1.018,13
19055,0,1,10,10,0.996,2.412,1.098,9
19324,0,1,10,10,0.995,2.704,1.180,4
19593,0,1,10,10,1.009,2.926,1.263,14
19861,0,1,10,10,1.001,1.387,0.872,15
20130,0,1,10,10,1.002,1.779,0.950,16
20399,0,1,10,10,0.998,2.142,1.030,14
20668,0,1,10,10,0.993,2.469,1.110,6
20937,0,1,10,10,0.999,2.735,1.193,5
21205,0,1,10,10,0.991,1.044,0.805,-5
21474,0,1,10,10,1.008,1.441,0.888,3
21743,0,1,10,10,1.008,1.841,0.969,11
22012,0,1,10,10,1.000,2.198,1.046,11
22281,0,1,10,10,0.995,2.511,1.125,7
22550,0,1,10,10,0.998,2.781,1.206,5
22818,0,1,10,10,0.995,1.096,0.818,-1
23087,0,1,10,10,1.005,1.515,0.900,5
23356,0,1,10,10,1.007,1.895,0.980,12
23625,0,1,10,10,0.998,2.254,1.058,10
23894,0,1,10,10,0.995,2.556,1.137,5
24163,0,1,10,10,1.002,2.813,1.220,7
24431,0,1,10,10,0.996,1.173,0.830,2
24700,0,1,10,10,1.007,1.567,0.911,9
24969,0,1,10,10,1.003,1.961,0.991,12
25238,0,1,10,10,0.998,2.298,1.070,10
25507,0,1,10,10,0.995,2.602,1.150,5
25776,0,1,10,10,1.002,2.853,1.232,6
26044,0,1,10,10,0.999,1.228,0.843,6
26313,0,1,10,10,1.004,1.642,0.923,10
26582,0,1,10,10,1.004,2.006,1.003,14
26851,0,1,10,10,0.994,2.357,1.082,8
27120,0,1,10,10,0.995,2.643,1.163,3
27389,0,1,10,10,1.006,2.884,1.246,9
27657,0,1,10,10,1.000,1.301,0.855,8
27926,0,1,10,10,1.005,1.693,0.935,13
28195,0,1,10,10,0.998,2.076,1.014,11
28464,0,1,10,10,0.996,2.397,1.094,7
28733,0,1,10,10,0.996,2.686,1.176,3
29002,0,1,10,10,1.007,2.919,1.258,11
29270,0,1,10,10,1.001,1.360,0.867,12
29539,0,1,10,10,1.001,1.764,0.946,13
29808,0,1,10,10,0.999,2.120,1.026,12
30077,0,1,10,10,0.993,2.452,1.106,5
30346,0,1,10,10,0.998,2.722,1.189,3
30615,0,1,10,10,1.010,2.952,1.271,14
30883,0,1,10,10,1.001,1.427,0.879,15
31152,0,1,10,10,1.001,1.818,0.957,15
31421,0,1,10,10,0.995,2.182,1.037,10
31690,0,1,10,10,0.995,2.491,1.119,5
31959,0,1,10,10,0.998,2.767,1.202,3
32227,0,1,10,10,0.993,1.079,0.813,-4
32496,0,1,10,10,1.006,1.491,0.896,2
