Time (sec), PosCmd (X) (mm), PosCmd (Z) (mm), PosCmd (msShut_ext) (deg), PosFbk (X) (mm), PosFbk (Z) (mm), PosFbk (msShut_ext) (deg), PosErr (X) (mm), PosErr (Z) (mm), PosErr (msShut_ext) (deg), VelCmd (X) (mm/msec), VelCmd (Z) (mm/msec), VelCmd (msShut_ext) (deg/msec), VelFbk (X) (mm/msec), VelFbk (Z) (mm/msec), VelFbk (msShut_ext) (deg/msec), VelErr (X) (mm/msec), VelErr (Z) (mm/msec), VelErr (msShut_ext) (deg/msec), CurCmd (X), CurCmd (Z), CurCmd (msShut_ext), CurFbk (X), CurFbk (Z), CurFbk (msShut_ext), CurErr (X), CurErr (Z), CurErr (msShut_ext), Ain 1 (X), Program Counter (T01)
0, -0.061, -9.98527355632486, 49.0050000000015, -0.064, -10.024, 49.0500000000015, 0.003, 0.0387264436751448, -0.0450000000000013, 0, 0.142027049226961, 0, -0.002, 0.132, 0, 0.002, 0.010027049226961, 0, -0.0482054613530636, 1.85693442821503, -0.0188328288495541, 0.0160873085260391, 1.70640444755554, -0.0114216571673751, -0.0642927698791027, 0.150529980659485, -0.00741117168217897, 0.0041561322286725, 2770
0.001, -0.061, -9.82214637972404, 49.0050000000015, -0.062, -9.853, 49.0500000000015, 0.001, 0.0308536202759551, -0.0450000000000013, 0, 0.16312717660081, 0, 0.002, 0.171, 0, -0.002, -0.00787282339918966, 0, 0.17154686152935, 1.24353182315826, -0.0201726499944925, 0.00368406577035785, 1.66167116165161, -0.0114216571673751, 0.167862795758992, -0.418139338493347, -0.00875099282711744, 0.00381241412833333, 2770
0.002, -0.061, -9.63861939517328, 49.0050000000015, -0.059, -9.654, 49.0500000000015, -0.002, 0.0153806048267252, -0.0450000000000013, 0, 0.18352698455077, 0, 0.003, 0.199, 0, -0.003, -0.0154730154492299, 0, 0.417406499385834, 0.239633098244667, -0.020571943372488, 0.0576256290078163, 0.368504256010056, -0.0114216571673751, 0.359780870378017, -0.128871157765388, -0.00915028620511293, 0.00406140135601163, 2770
0.003, -0.061, -9.43539292209644, 49.0050000000015, -0.058, -9.45, 49.0500000000015, -0.003, 0.0146070779035635, -0.0450000000000013, 0, 0.203226473076838, 0, 0.001, 0.204, 0, -0.001, -0.00077352692316164, 0, 0.281928241252899, 0.729620337486267, -0.020953381434083, 0.261901885271072, 0.412824898958206, -0.0114216571673751, 0.0200263559818268, 0.316795438528061, -0.0095317242667079, 0.00391255365684628, 2770
0.004, -0.061, -9.21316727991742, 49.0050000000015, -0.059, -9.239, 49.0500000000015, -0.002, 0.0258327200825806, -0.0450000000000013, 0, 0.222225642179017, 0, -0.001, 0.211, 0, 0.001, 0.0112256421790171, 0, -0.00551184639334679, 1.40552711486816, -0.0213356427848339, 0.172872275114059, 1.25288736820221, -0.0233147218823433, -0.178384121507406, 0.152639746665955, 0.00197907909750938, 0.00373490992933512, 2770
0.005, -0.061, -8.97264278806012, 49.0050000000015, -0.063, -9.007, 49.0500000000015, 0.002, 0.034357211939885, -0.0450000000000013, 0, 0.240524491857304, 0, -0.004, 0.232, 0, 0.004, 0.00852449185730438, 0, -0.279435753822327, 1.48609972000122, -0.0217179395258427, 0.0488127321004868, 1.54025936126709, -0.0233147218823433, -0.328248485922813, -0.0541596412658691, 0.00159678235650063, 0.00386360706761479, 2770
0.006, -0.061, -8.71451976594841, 49.0050000000015, -0.066, -8.751, 49.0500000000015, 0.005, 0.0364802340515871, -0.0450000000000013, 0, 0.258123022111702, 0, -0.003, 0.256, 0, 0.003, 0.00212302211170207, 0, -0.237186998128891, 1.53404605388641, -0.0221002362668514, -0.0136958230286837, 1.4901008605957, -0.0233147218823433, -0.223491175100207, 0.0439451932907104, 0.00121448561549187, 0.00386584806255996, 2770
0.007, -0.061, -8.4394985330062, 49.0050000000015, -0.065, -8.473, 49.0050000000015, 0.004, 0.0335014669937973, 0, 0, 0.27502123294221, 0, 0.001, 0.278, -0.0450000000000013, -0.001, -0.00297876705778984, 0.0450000000000013, 0.0554832145571709, 1.42963778972626, -0.0136515218764544, -0.0260309688746929, 1.4790620803833, 0.0350063256919384, 0.0815141834318638, -0.0494242906570435, -0.0486578475683928, 0.00410639215260744, 2770
0.008, -0.061, -8.14827940865737, 49.0050000000015, -0.062, -8.174, 49.0050000000015, 0.001, 0.0257205913426269, 0, 0, 0.29121912434883, 0, 0.003, 0.299, 0, -0.003, -0.00778087565117038, 0, 0.377377271652222, 0.700059413909912, -0.0126326745375991, 0.00470689544454217, 1.02989089488983, -0.0233387611806393, 0.37267037620768, -0.329831480979919, 0.0107060866430402, 0.00398148549720645, 2770
0.009, -0.061, -7.84156271232582, 49.0050000000015, -0.06, -7.857, 49.0500000000015, -0.001, 0.0154372876741836, -0.0450000000000013, 0, 0.306716696331557, 0, 0.002, 0.317, 0.0450000000000013, -0.002, -0.0102833036684433, -0.0450000000000013, 0.328411340713501, -0.0830435156822205, -0.0863369181752205, 0.0840423256158829, 0.105456940829754, -0.0578156635165215, 0.244369015097618, -0.188500456511974, -0.028521254658699, 0.834757804870605, 2770
0.01, -0.061, -7.52004876343542, 49.0050000000015, -0.06, -7.533, 49.0500000000015, -0.001, 0.012951236564576, -0.0450000000000013, 0, 0.321513948890392, 0, 0, 0.324, 0, 0, -0.00248605110960762, 0, 0.151200503110886, 0.347581058740616, -0.0240394435822964, 0.2256079018116, 0.0382811352610588, -0.0233147218823433, -0.0744073987007141, 0.309299923479557, -0.000724721699953079, 2.84918451309204, 2770
0.011, -0.061, -7.18443788141008, 49.0050000000015, -0.061, -7.205, 49.0050000000015, 0, 0.0205621185899163, 0, 0, 0.33561088202534, 0, -0.001, 0.328, -0.0450000000000013, 0.001, 0.00761088202534028, 0.0450000000000013, -0.0654918104410172, 1.21832537651062, 0.0826733261346817, 0.0783486813306808, 0.867558240890503, -0.0113831786438823, -0.143840491771698, 0.350767135620117, 0.094056504778564, 3.47027993202209, 2912
0.012, -0.061, -6.83543038567369, 49.0050000000015, -0.063, -6.859, 49.0050000000015, 0.002, 0.023569614326314, 0, 0, 0.349007495736398, 0, -0.002, 0.346, 0, 0.002, 0.00300749573639769, 0, -0.051579125225544, 1.26080322265625, -0.0177949443459511, 0.0459373965859413, 1.502485871315, -0.0113831786438823, -0.0975165218114853, -0.241682648658752, -0.00641176570206881, 3.43443512916565, 2912
0.013, -0.061, -6.47372659565012, 49.0050000000015, -0.063, -6.495, 49.0050000000015, 0.002, 0.0212734043498795, 0, 0, 0.361703790023566, 0, 0, 0.364, 0, 0, -0.00229620997643453, 0, 0.0354471690952778, 0.782883286476135, -0.0146374711766839, 0.0325160436332226, 0.779750823974609, -0.000142940873047337, 0.00293112546205521, 0.00313246250152588, -0.0144945303036366, 3.3559398651123, 2912
0.014, -0.061, -6.10002683076328, 49.0050000000015, -0.062, -6.121, 49.0050000000015, 0.001, 0.0209731692367195, 0, 0, 0.37369976488684, 0, 0.001, 0.374, 0, -0.001, -0.000300235113159928, 0, 0.206799522042274, 0.874951362609863, -0.0144662242382765, 0.0444672331213951, 0.826281011104584, -0.0120985228568316, 0.162332288920879, 0.0486703515052795, -0.00236770138144493, 3.33745694160461, 2912
0.015, -0.061, -5.71503141043705, 49.0050000000015, -0.062, -5.738, 49.0050000000015, 0.001, 0.0229685895629473, 0, 0, 0.384995420326228, 0, 0, 0.383, 0, 0, 0.00199542032622779, 0, 0.0733256787061691, 0.927188456058502, -0.0144671415910125, 0.0580210797488689, 0.989629089832306, -0.0113831786438823, 0.0153045989573002, -0.0624406337738037, -0.0030839629471302, 3.34083271026611, 2978
0.016, -0.061, -5.31944065409533, 49.0050000000015, -0.061, -5.339, 49.0050000000015, 0, 0.0195593459046695, 0, 0, 0.395590756341722, 0, 0.001, 0.399, 0, -0.001, -0.00340924365827779, 0, 0.208382695913315, 0.472701609134674, -0.0144673585891724, 0.0713195353746414, 0.60404360294342, -0.0113831786438823, 0.137063160538673, -0.131341993808746, -0.00308417994529009, 3.34439754486084, 2978
