Time (sec), PosCmd (X) (mm), PosCmd (Z) (mm), PosCmd (msShut_ext) (deg), PosFbk (X) (mm), PosFbk (Z) (mm), PosFbk (msShut_ext) (deg), PosErr (X) (mm), PosErr (Z) (mm), PosErr (msShut_ext) (deg), VelCmd (X) (mm/msec), VelCmd (Z) (mm/msec), VelCmd (msShut_ext) (deg/msec), VelFbk (X) (mm/msec), VelFbk (Z) (mm/msec), VelFbk (msShut_ext) (deg/msec), VelErr (X) (mm/msec), VelErr (Z) (mm/msec), VelErr (msShut_ext) (deg/msec), CurCmd (X), CurCmd (Z), CurCmd (msShut_ext), CurFbk (X), CurFbk (Z), CurFbk (msShut_ext), CurErr (X), CurErr (Z), CurErr (msShut_ext), Ain 1 (X), Program Counter (T01)
0, -0.061, -10.0536855850054, 49.0050000000015, -0.061, -10.07, 49.0050000000015, 0, 0.0163144149945765, 0, 0, 0.13202233857532, 0, 0, 0.134, -0.0450000000000013, 0, -0.00197766142468026, 0.0450000000000013, 0.0898585021495819, 1.15595006942749, 0.021564643830061, 0.0733658969402313, 1.22644793987274, -0.0233147218823433, 0.0164926052093506, -0.0704978704452515, 0.0448793657124043, 0.00388310570269823, 2770
0.001, -0.061, -9.90023892913013, 49.0050000000015, -0.061, -9.917, 49.0050000000015, 0, 0.0167610708698649, 0, 0, 0.153446655875288, 0, 0, 0.153, 0, 0, 0.000446655875288357, 0, 0.0896454602479935, 1.25346708297729, -0.027060380205512, 0.0815539434552193, 1.08203661441803, 0.011812643148005, 0.0080915167927742, 0.171430468559265, -0.0388730233535171, 0.00375432521104813, 2770
0.002, -0.061, -9.72606827542695, 49.0050000000015, -0.061, -9.744, 49.0050000000015, 0, 0.0179317245730526, 0, 0, 0.174170653703188, 0, 0, 0.173, 0, 0, 0.00117065370318777, 0, 0.0897906720638275, 1.33637285232544, -0.0151411965489388, 0.0837918967008591, 1.42722856998444, -0.000142940873047337, 0.00599877536296844, -0.0908557176589966, -0.0149982556758914, 0.00432510022073984, 2770
0.003, -0.061, -9.53187394336793, 49.0050000000015, -0.061, -9.547, 49.0050000000015, 0, 0.0151260566320689, 0, 0, 0.194194332059016, 0, 0, 0.197, 0, 0, -0.00280566794098378, 0, 0.0897695124149323, 1.00509071350098, -0.0151649545878172, 0.0876917243003845, 1.16369676589966, -0.0113831786438823, 0.00207778811454773, -0.158606052398682, -0.00378177594393492, 0.00392573745921254, 2770
0.004, -0.061, -9.31835625242515, 49.0050000000015, -0.061, -9.331, 49.0050000000015, 0, 0.012643747574848, 0, 0, 0.213517690942779, 0, 0, 0.216, 0, 0, -0.00248230905722085, 0, 0.0897708684206009, 0.927207708358765, -0.0151794776320457, 0.0897393971681595, 0.852263867855072, -0.0113831786438823, 3.14712524414063E-05, 0.0749438405036926, -0.00379629898816347, 0.00381750776432455, 2770
0.005, -0.061, -9.08621552207068, 49.0050000000015, -0.061, -9.099, 49.0050000000015, 0, 0.0127844779293173, 0, 0, 0.232140730354469, 0, 0, 0.232, 0, 0, 0.00014073035446927, 0, 0.0897709727287292, 1.18446230888367, -0.0151796881109476, 0.0897393971681595, 1.1403660774231, -0.0233387611806393, 3.15755605697632E-05, 0.0440962314605713, 0.00815907306969166, 0.00388613948598504, 2770
0.006, -0.061, -8.83615207177659, 49.0050000000015, -0.061, -8.846, 49.0050000000015, 0, 0.00984792822340933, 0, 0, 0.250063450294092, 0, 0, 0.253, 0, 0, -0.00293654970590796, 0, 0.0897709280252457, 0.838274598121643, -0.0151796769350767, 0.0889091044664383, 0.957041323184967, -0.0233387611806393, 0.000861823558807373, -0.118766725063324, 0.00815908424556255, 0.00361007289029658, 2770
0.007, -0.061, -8.56886622101494, 49.0050000000015, -0.062, -8.577, 49.0050000000015, 0.001, 0.0081337789850586, 0, 0, 0.267285850761649, 0, -0.001, 0.269, 0, 0.001, -0.00171414923835074, 0, -0.0185603573918343, 0.767424821853638, -0.0151796750724316, 0.0827694833278656, 0.690816640853882, -0.0233387611806393, -0.1013298407197, 0.0766081809997559, 0.0081590861082077, 0.00374511606059968, 2770
0.008, -0.061, -8.28505828925781, 49.0050000000015, -0.062, -8.294, 49.0050000000015, 0.001, 0.0089417107421923, 0, 0, 0.283807931757134, 0, 0, 0.283, 0, 0, 0.000807931757133687, 0, 0.0681392028927803, 0.993068516254425, -0.0151796750724316, 0.056358776986599, 0.978773951530457, -0.0233387611806393, 0.0117804259061813, 0.0142945647239685, 0.0081590861082077, 0.00405379571020603, 2770
0.009, -0.061, -7.98542859597726, 49.0050000000015, -0.062, -7.995, 49.0050000000015, 0.001, 0.00957140402274217, 0, 0, 0.29962969328055, 0, 0, 0.299, 0, 0, 0.000629693280549895, 0, 0.0837628394365311, 1.03582358360291, -0.0151796750724316, 0.063521109521389, 1.06518232822418, -0.000142940873047337, 0.0202417299151421, -0.0293587446212769, -0.0150367341993842, 0.0458197630941868, 2770
0.01, -0.061, -7.67067746064536, 49.0050000000015, -0.062, -7.68, 49.0050000000015, 0.001, 0.00932253935463905, 0, 0, 0.314751135331897, 0, 0, 0.315, 0, 0, -0.00024886466810311, 0, 0.0795818120241165, 0.835456013679504, -0.0151796750724316, 0.0678078755736351, 0.854938149452209, -0.0113831786438823, 0.0117739364504814, -0.0194821357727051, -0.00379649642854929, 2.07742547988892, 2770
0.011, -0.061, -7.34150520273418, 49.0050000000015, -0.062, -7.353, 49.0050000000015, 0.001, 0.0114947972658165, 0, 0, 0.329172257911177, 0, 0, 0.327, 0, 0, 0.00217225791117747, 0, 0.0797955393791199, 1.07531476020813, -0.0151796750724316, 0.0702375918626785, 0.96442174911499, -0.0233387611806393, 0.00955794751644135, 0.11089301109314, 0.0081590861082077, 3.33081030845642, 2770
0.012, -0.061, -6.9986121417158, 49.0050000000015, -0.061, -7.009, 49.0050000000015, 0, 0.0103878582842035, 0, 0, 0.342893061018387, 0, 0.001, 0.344, 0, -0.001, -0.00110693898161297, 0, 0.187900975346565, 0.868512153625488, -0.0151796750724316, 0.0821313187479973, 1.08525443077087, -0.0113831786438823, 0.105769656598568, -0.216742277145386, -0.00379649642854929, 3.47677993774414, 2912
0.013, -0.061, -6.64269859706227, 49.0050000000015, -0.061, -6.649, 49.0050000000015, 0, 0.00630140293773275, 0, 0, 0.355913544653529, 0, 0, 0.36, 0, 0, -0.00408645534647076, 0, 0.100983202457428, 0.475260496139526, -0.0151796750724316, 0.13739088177681, 0.50873064994812, -0.0120985228568316, -0.0364076793193817, -0.0334701538085938, -0.00308115221560001, 3.38595032691956, 2912
0.014, -0.061, -6.27446488824567, 49.0050000000015, -0.061, -6.281, 49.0050000000015, 0, 0.00653511175433323, 0, 0, 0.368233708816601, 0, 0, 0.368, 0, 0, 0.000233708816600498, 0, 0.0851466879248619, 0.733178853988647, -0.0151796750724316, 0.0983108580112457, 0.569855690002441, -0.0120985228568316, -0.0131641700863838, 0.163323163986206, -0.00308115221560001, 3.34340190887451, 2912
0.015, -0.061, -5.89461133473806, 49.0050000000015, -0.061, -5.904, 49.0050000000015, 0, 0.0093886652619376, 0, 0, 0.379853553507604, 0, 0, 0.377, 0, 0, 0.0028535535076044, 0, 0.0891137942671776, 0.89986377954483, -0.0151796750724316, 0.0921704694628716, 0.899040222167969, -0.0233387611806393, -0.00305667519569397, 0.000823557376861572, 0.0081590861082077, 3.34052133560181, 2912
0.016, -0.061, -5.50383825601152, 49.0050000000015, -0.061, -5.514, 49.0050000000015, 0, 0.0101617439884776, 0, 0, 0.39077307872654, 0, 0, 0.39, 0, 0, 0.000773078726540029, 0, 0.0886863023042679, 0.71838653087616, -0.0151796750724316, 0.0907625705003738, 0.829587459564209, -0.0120985228568316, -0.00207626819610596, -0.111200928688049, -0.00308115221560001, 3.34486055374146, 2978
0.017, -0.061, -5.10284597153812, 49.0050000000015, -0.061, -5.114, 49.0050000000015, 0, 0.0111540284618832, 0, 0, 0.400992284473406, 0, 0, 0.4, 0, 0, 0.000992284473405569, 0, 0.0886983349919319, 0.84279203414917, -0.0151796750724316, 0.0897393971681595, 0.752861380577087, -0.0113831786438823, -0.00104106217622757, 0.0899306535720825, -0.00379649642854929, 3.34639286994934, 2978
0.018, -0.061, -4.69233480078992, 49.0050000000015, -0.061, -4.703, 49.0050000000015, 0, 0.0106651992100842, 0, 0, 0.410511170748201, 0, 0, 0.411, 0, 0, -0.000488829251798976, 0, 0.0887027457356453, 0.742241859436035, -0.0151796750724316, 0.0887175053358078, 0.818248510360718, -0.0120985228568316, -1.47596001625061E-05, -0.0760066509246826, -0.00308115221560001, 3.34636926651001, 2978
0.019, -0.061, -4.27300506323899, 49.0050000000015, -0.061, -4.28, 49.0050000000015, 0, 0.00699493676101429, 0, 0, 0.41932973755093, 0, 0, 0.423, 0, 0, -0.00367026244906994, 0, 0.0887018293142319, 0.332577258348465, -0.0151796750724316, 0.0889091044664383, 0.444049894809723, -0.0113831786438823, -0.000207275152206421, -0.111472636461258, -0.00379649642854929, 1.63438129425049, 3082
0.02, -0.061, -3.8455570783574, 49.0050000000015, -0.061, -3.85, 49.0050000000015, 0, 0.00444292164260423, 0, 0, 0.42744798488159, 0, 0, 0.43, 0, 0, -0.00255201511841005, 0, 0.0887019038200378, 0.331171452999115, -0.0151796750724316, 0.0878872275352478, 0.283275872468948, -0.0113831786438823, 0.000814676284790039, 0.0478955805301666, -0.00379649642854929, 0.120925679802895, 3082
0.021, -0.061, -3.41069116561722, 49.0050000000015, -0.061, -3.417, 49.0050000000015, 0, 0.00630883438278352, 0, 0, 0.434865912740179, 0, 0, 0.433, 0, 0, 0.00186591274017928, 0, 0.0887019038200378, 0.611039042472839, -0.0151796750724316, 0.0878872275352478, 0.481339931488037, -0.0233387611806393, 0.000814676284790039, 0.129699110984802, 0.0081590861082077, -0.138637349009514, 3082
0.022, -0.061, -2.96910764449051, 49.0050000000015, -0.06, -2.976, 49.0050000000015, -0.001, 0.0068923555094857, 0, 0, 0.441583521126702, 0, 0.001, 0.441, 0, -0.001, 0.000583521126702195, 0, 0.22175869345665, 0.509222626686096, -0.0151796750724316, 0.112257041037083, 0.652080297470093, -0.0113831786438823, 0.109501652419567, -0.142857670783997, -0.00379649642854929, 1.53354907035828, 3082
0.023, -0.061, -2.52150683444936, 49.0050000000015, -0.06, -2.526, 49.0050000000015, -0.001, 0.00449316555063797, 0, 0, 0.447600810041152, 0, 0, 0.45, 0, 0, -0.00239918995884771, 0, 0.0950194969773293, 0.275453448295593, -0.0151796750724316, 0.14135804772377, 0.342200696468353, -0.0233387611806393, -0.0463385507464409, -0.06674724817276, 0.0081590861082077, 3.18656921386719, 3082
0.024, -0.061, -2.06858905496582, 49.0050000000015, -0.06, -2.07, 49.0050000000015, -0.001, 0.00141094503417662, 0, 0, 0.452917779483539, 0, 0, 0.456, 0, 0, -0.00308222051646136, 0, 0.0969716757535934, 0.154816895723343, -0.0151796750724316, 0.104317352175713, 0.170507952570915, -0.0233387611806393, -0.00734567642211914, -0.0156910568475723, 0.0081590861082077, 3.49688959121704, 3082
0.025, -0.061, -1.61105462551197, 49.0050000000015, -0.061, -1.613, 49.0500000000015, 0, 0.00194537448803021, -0.0450000000000013, 0, 0.457534429453854, 0, -0.001, 0.457, 0.0450000000000013, 0.001, 0.000534429453853576, -0.0450000000000013, 0.00174651178531349, 0.388367921113968, -0.1209497153759, 0.0678652673959732, 0.260654956102371, -0.0346166342496872, -0.0661187556106597, 0.127712965011597, -0.0863330811262131, 3.40842938423157, 3082
0.026, -0.061, -1.14960386555987, 49.0050000000015, -0.061, -1.154, 49.0050000000015, 0, 0.00439613444012866, 0, 0, 0.461450759952099, 0, 0, 0.459, -0.0450000000000013, 0, 0.00245075995209848, 0.0450000000000013, 0.0966197103261948, 0.429537028074265, 0.0245854910463095, 0.0641559734940529, 0.371143102645874, -0.0346166342496872, 0.0324637368321419, 0.0583939254283905, 0.0592021252959967, 3.34887719154358, 3082
0.027, -0.061, -0.684937094581596, 49.0050000000015, -0.061, -0.692, 49.0050000000015, 0, 0.0070629054184044, 0, 0, 0.464666770978276, 0, 0, 0.462, 0, 0, 0.00266677097827574, 0, 0.0893775448203087, 0.54726904630661, -0.0273695252835751, 0.0745832771062851, 0.526819169521332, 0.011812643148005, 0.0147942677140236, 0.0204498767852783, -0.0391821684315801, 3.34121417999268, 3082
0.028, -0.061, -0.21775463204921, 49.0050000000015, -0.062, -0.223, 49.0050000000015, 0.001, 0.00524536795078959, 0, 0, 0.467182462532385, 0, -0.001, 0.469, 0, 0.001, -0.00181753746761481, 0, -0.00789384730160236, 0.174754336476326, -0.0156204290688038, 0.0600683875381947, 0.365433156490326, -0.0120985228568316, -0.067962234839797, -0.190678820014, -0.00352190621197224, 2.02440476417542, 3082
