	Name	Updated	start	stop	step	offset	speed
1		2022-06-30 12:26.21					
2	APS:EFX_0-180-4	2021-10-13 10:50:56	0	180	4	0	3
3	APS:EFX_180-360-1	2021-10-13 10:50:56	180	360	1	0	3
4	APS:EFX_182-362-4	2021-12-15 10:16:58	182	362	4	0	3
5	APS:EFX_363-543-2	2022-01-30 22:44:38	363	543	2	0	3
6	APS:EFX_363-541-2	2022-01-30 22:44:38	363	541	2	0	3
7	APS:EFX_543.5-723.5-1	2022-01-30 22:44:38	543.5	723.5	1	0	3
8	APS:EFX_723.75-903.75-0.5	2022-01-30 22:44:38	723.75	903.75	0.5	0	3
9	APS:EFX_904-1084-0.5	2022-01-30 22:44:39	904	1084	0.5	0	3
10	APS:EFX_0-0-4	2022-01-30 22:44:39	0	0	4	0	3
11	APS:EFX_custom_range	2022-01-30 22:44:39	44	180	4	0	3
12	APS:EFX_-90-0-1	2022-01-30 22:44:39	-90	0	1	0	3
13	APS:EFX_screening	2022-01-30 22:44:39	0	90	90	0	1
